City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,san policarpo,12.1791,125.5072,82.04,81,19,8.34,PH,1681949031
85,nurota,40.5614,65.6886,42.96,48,0,6.69,UZ,1681949031
86,new norfolk,-42.7826,147.0587,58.91,82,100,1.01,AU,1681949032
87,ilulissat,69.2167,-51.1,23.02,80,100,3.44,GL,1681948991
88,east london,-33.0153,27.9116,81.03,28,52,10.45,ZA,1681948774
89,almeria,37.1667,-2.3333,55.44,63,100,2.13,ES,1681949033
90,alice springs,-23.7,133.8833,60.35,63,0,16.11,AU,1681949033
91,alofi,-19.0595,-169.9187,82.29,89,100,4.61,NU,1681949033
92,baturaja,-4.1333,104.1667,74.19,98,100,1.52,ID,1681949033
93,cayenne,4.9333,-52.3333,75.24,100,75,0.0,GF,1681949033
94,sakakah,29.9697,40.2064,74.77,30,91,5.93,SA,1681948956
95,mahajanga,-15.7167,46.3167,78.82,89,40,3.44,MG,1681949033
96,hamilton,39.1834,-84.5333,77.63,72,54,6.91,US,1681948831
97,kungurtug,50.5994,97.5228,16.61,81,92,1.19,RU,1681949034
98,alta floresta,-9.8756,-56.0861,73.45,95,97,2.42,BR,1681949034
99,maldonado,-34.6667,-54.9167,60.22,72,97,11.36,UY,1681948874
100,treinta y tres,-33.2333,-54.3833,53.74,78,83,10.58,UY,1681949034
101,mahibadhoo,3.7833,72.9667,83.05,68,99,1.95,MV,1681949035
102,mwense,-10.3845,28.698,64.22,95,60,3.62,ZM,1681949035
103,nagato,34.3833,131.2,65.39,80,29,5.17,JP,1681948936
104,mar del plata,-38.0023,-57.5575,54.95,72,40,4.61,AR,1681949009
105,ternate,0.8,127.4,82.83,75,16,2.33,ID,1681949036
106,sitka,57.0531,-135.33,53.49,40,75,11.5,US,1681949036
107,ponta do sol,32.6667,-17.1,64.71,74,58,2.21,PT,1681949036
108,del rio,29.3627,-100.8968,84.6,54,40,23.02,US,1681948871
109,butaritari,3.0707,172.7902,83.08,76,15,12.88,KI,1681949037
110,constitucion,-35.3333,-72.4167,56.71,80,73,9.62,CL,1681949037
111,antigonish,45.6169,-61.9986,46.81,76,20,4.0,CA,1681948753
112,okha,53.5739,142.9478,30.67,86,89,6.8,RU,1681949037
113,mahebourg,-20.4081,57.7,79.25,83,40,11.5,MU,1681948865
114,vaini,-21.2,-175.2,78.96,89,75,19.57,TO,1681949038
115,bethel,41.3712,-73.414,53.96,55,0,8.05,US,1681948773
116,victoria,22.2855,114.1577,76.19,95,97,1.01,HK,1681948997
117,puerto baquerizo moreno,-0.9,-89.6,79.25,78,69,4.59,EC,1681949038
118,cuautepec,16.7,-99.0,83.79,58,68,10.0,MX,1681949038
119,meiganga,6.5167,14.3,68.4,88,64,0.92,CM,1681949038
120,beian,63.6559,9.5683,41.99,100,100,2.3,NO,1681949038
121,vila franca do campo,37.7167,-25.4333,55.81,86,99,12.24,PT,1681949039
122,mount gambier,-37.8333,140.7667,59.65,74,99,6.31,AU,1681949039
123,norman wells,65.282,-126.8329,28.44,64,20,9.22,CA,1681949039
124,bosaso,11.2842,49.1816,81.18,65,2,3.04,SO,1681948914
125,kavieng,-2.5744,150.7967,83.37,69,69,2.75,PG,1681949040
126,gemena,3.25,19.7667,72.97,80,95,1.7,CD,1681949040
127,lasa,46.6166,10.7002,48.69,93,100,1.99,IT,1681949040
128,saint-philippe,-21.3585,55.7679,74.79,85,40,12.03,RE,1681949041
129,eyemouth,55.8713,-2.0901,44.82,85,5,9.33,GB,1681948878
130,along,28.1667,94.7667,69.1,81,71,2.62,IN,1681949041
131,nouadhibou,20.931,-17.0347,67.98,83,86,17.27,MR,1681949041
132,dali,25.7,100.1833,60.26,51,0,4.52,CN,1681949042
133,necochea,-38.5473,-58.7368,53.02,72,2,7.16,AR,1681949042
134,bafq,31.6128,55.4107,64.89,22,0,1.36,IR,1681949042
135,kuytun,54.3419,101.5036,17.85,59,84,6.98,RU,1681949042
136,beringovskiy,63.05,179.3167,30.22,81,13,9.8,RU,1681949043
137,bud,39.447,-86.1758,78.82,71,81,9.57,US,1681949043
138,carnarvon,-24.8667,113.6333,73.89,44,78,16.24,AU,1681949043
139,zalantun,48.0,122.7167,36.07,20,0,31.65,CN,1681949044
140,henties bay,-22.116,14.2845,63.79,81,0,5.21,NA,1681949044
141,kowary,50.7931,15.8356,37.36,92,63,14.0,PL,1681949044
142,zayukovo,43.6161,43.3339,41.22,75,65,2.51,RU,1681949045
143,hithadhoo,-0.6,73.0833,83.19,72,100,5.55,MV,1681949045
144,vawkavysk,53.1561,24.4513,48.16,70,96,7.94,BY,1681949045
145,muana,-1.5283,-49.2167,76.57,92,71,4.0,BR,1681949046
146,tucumcari,35.1717,-103.725,80.94,8,0,27.63,US,1681949046
147,upernavik,72.7868,-56.1549,12.11,95,100,2.51,GL,1681949047
148,gergebil,42.5047,47.0661,56.73,50,75,5.01,RU,1681949047
149,lauria,40.0465,15.8358,46.17,83,3,1.39,IT,1681949048
150,poum,-20.2333,164.0167,78.48,73,6,7.58,NC,1681949048
151,lindenhurst,40.6868,-73.3735,55.76,64,0,5.75,US,1681948913
152,chicama,-7.8447,-79.1469,73.94,72,88,5.64,PE,1681949048
153,nizwa,22.9333,57.5333,76.59,51,90,4.61,OM,1681949049
154,pemangkat,1.1667,108.9667,79.68,81,68,3.47,ID,1681949049
155,mackay,-21.15,149.2,82.69,67,15,18.34,AU,1681949049
156,narsaq,60.9167,-46.05,34.02,93,84,2.35,GL,1681949049
157,basoko,1.2391,23.616,74.7,76,100,0.54,CD,1681949050
158,yulara,-25.2406,130.9889,61.52,50,0,20.36,AU,1681949050
159,macamic,48.7502,-78.9996,28.65,81,100,9.51,CA,1681949050
160,wad madani,14.4012,33.5199,86.0,9,0,10.16,SD,1681949051
161,hare bay,48.8499,-54.0148,34.95,96,100,8.43,CA,1681949051
162,coihaique,-45.5752,-72.0662,55.35,76,40,3.44,CL,1681948924
163,zhezkazgan,47.8043,67.7144,40.64,56,51,3.8,KZ,1681949051
164,sawakin,19.1059,37.3321,77.38,72,0,7.9,SD,1681949052
165,morgan city,29.6994,-91.2068,70.56,70,10,8.19,US,1681949052
166,kuchinarai,16.541,104.05,87.28,60,0,10.63,TH,1681949052
167,ulaanbaatar,47.9077,106.8832,21.33,45,0,2.24,MN,1681949052
168,lebu,-37.6167,-73.65,54.64,94,78,14.65,CL,1681949053
169,inta,66.0317,60.1659,27.46,94,100,12.82,RU,1681949053
170,cape town,-33.9258,18.4232,60.12,84,20,11.5,ZA,1681949053
171,chokurdakh,70.6333,147.9167,4.1,94,96,3.85,RU,1681949053
172,laguna,38.421,-121.4238,66.76,32,0,11.5,US,1681949054
173,vestmannaeyjar,63.4427,-20.2734,47.21,87,19,17.29,IS,1681949054
174,lloydminster,53.2835,-110.0016,35.82,60,100,14.97,CA,1681948845
175,guerrero negro,27.9769,-114.0611,61.23,63,16,24.83,MX,1681949055
176,verkhnyaya inta,65.9811,60.3094,27.37,94,100,12.73,RU,1681949055
177,birao,10.2849,22.7882,81.28,20,46,4.14,CF,1681949055
178,northam,51.0333,-4.2167,48.61,69,7,22.3,GB,1681949056
179,camocim,-2.9022,-40.8411,77.5,87,100,3.44,BR,1681949016
180,esperance,-33.8667,121.9,57.56,66,0,12.66,AU,1681948781
181,copiapo,-27.3667,-70.3333,56.89,52,0,1.23,CL,1681949056
182,sarti,40.1,23.9833,54.46,80,24,2.37,GR,1681949057
183,talaya,61.3833,152.75,24.75,87,99,10.11,RU,1681949057
184,cabo san lucas,22.8909,-109.9124,81.61,58,100,10.36,MX,1681948785
185,port lincoln,-34.7333,135.8667,61.74,54,94,5.3,AU,1681948816
186,rio gallegos,-51.6226,-69.2181,50.05,53,0,17.27,AR,1681949057
187,nome,64.5011,-165.4064,27.16,51,0,3.44,US,1681949058
188,liverpool,53.4106,-2.9779,46.65,64,0,4.61,GB,1681949059
189,bambanglipuro,-7.95,110.2833,79.59,83,35,4.94,ID,1681949059
190,zyryanskoye,56.8306,86.6258,20.98,95,100,5.01,RU,1681949060
191,arraias,-12.9288,-46.9437,72.75,79,84,2.77,BR,1681949060
192,roald,62.5833,6.1333,45.75,87,27,10.36,NO,1681949060
193,pisco,-13.7,-76.2167,70.02,88,0,14.97,PE,1681949060
194,diamantino,-14.4086,-56.4461,74.19,91,100,1.61,BR,1681949060
195,jalu,29.0331,21.5482,62.76,36,0,9.48,LY,1681949061
196,stornoway,58.2093,-6.3865,49.96,72,9,5.75,GB,1681949061
197,khatanga,71.9667,102.5,-3.42,100,100,0.43,RU,1681949061
198,tasiilaq,65.6145,-37.6368,33.96,99,100,3.89,GL,1681949062
199,grindavik,63.8424,-22.4338,46.35,100,100,21.85,IS,1681949062
200,maragogi,-9.0122,-35.2225,79.23,83,24,9.46,BR,1681949062
